epoch,train_loss,train_err,test_err
0,2.062894344329834,0.76906,0.7467
1,1.8028854131698608,0.68878,0.6527
2,1.8713001012802124,0.66566,0.6443
3,1.7968213558197021,0.6183,0.605
4,1.5373046398162842,0.59374,0.5908
5,1.6107933521270752,0.58006,0.5593
6,1.4165712594985962,0.59016,0.5844
7,1.2601449489593506,0.4999,0.4907
8,1.1972428560256958,0.4901,0.4847
9,1.3215839862823486,0.45098,0.4383
10,1.1455172300338745,0.39894,0.3861
11,1.0595197677612305,0.42118,0.4306
12,0.9764639139175415,0.41084,0.4063
13,0.9913560748100281,0.36314,0.3679
14,1.1009587049484253,0.4281,0.419
15,0.9571487307548523,0.32798,0.3198
16,1.0153841972351074,0.32528,0.3327
17,0.5559598207473755,0.31046,0.2946
18,0.6151039600372314,0.3118,0.3109
19,0.8590754270553589,0.32448,0.3246
20,0.9174017906188965,0.38252,0.3698
21,0.6426504850387573,0.2861,0.2914
22,0.8067499995231628,0.3289,0.3347
23,0.43633681535720825,0.23642,0.2486
24,0.7717686891555786,0.35188,0.3534
25,0.6480818390846252,0.22382,0.2327
26,0.6050094366073608,0.28298,0.2905
27,0.628784716129303,0.2401,0.2429
28,0.5587670207023621,0.23052,0.2437
29,0.6671627163887024,0.24216,0.2588
30,0.6562682390213013,0.23982,0.2403
31,0.4468801021575928,0.2739,0.2892
32,0.44236359000205994,0.26982,0.2809
33,0.7462096810340881,0.32068,0.3321
34,0.5908268690109253,0.29044,0.3016
35,0.3810229003429413,0.2564,0.2675
36,0.715919554233551,0.28672,0.2917
37,0.7382909059524536,0.25656,0.2707
38,0.5086066126823425,0.19488,0.216
39,0.5052071213722229,0.21706,0.2283
40,0.7391996383666992,0.26546,0.2773
41,0.6234264969825745,0.21392,0.2279
42,0.6010740995407104,0.22362,0.2359
43,0.40134087204933167,0.23776,0.2483
44,0.5142208337783813,0.2078,0.2233
45,0.47691741585731506,0.20446,0.2284
46,0.453413724899292,0.23842,0.2562
47,0.5075322985649109,0.35688,0.3612
48,0.4515398144721985,0.20856,0.2297
49,0.46962013840675354,0.31272,0.3356
50,0.4484517574310303,0.17956,0.206
51,0.5224667191505432,0.21352,0.2406
52,0.4366983473300934,0.2584,0.2831
53,0.6811190843582153,0.20102,0.2118
54,0.41762280464172363,0.17096,0.1937
55,0.5488272905349731,0.20252,0.22
56,0.32346925139427185,0.26852,0.2853
57,0.6425272226333618,0.22452,0.2398
58,0.44561347365379333,0.20478,0.2236
59,0.3498693108558655,0.21928,0.2507
60,0.37519752979278564,0.24478,0.2571
61,0.49476805329322815,0.27088,0.2909
62,0.43664640188217163,0.23792,0.2479
63,0.2897949516773224,0.25294,0.2708
64,0.5363735556602478,0.21604,0.2291
65,0.37440523505210876,0.24946,0.268
66,0.43600577116012573,0.18854,0.2241
67,0.5593604445457458,0.16562,0.1878
68,0.3712797164916992,0.20934,0.2413
69,0.4334200322628021,0.2215,0.2399
70,0.7124128341674805,0.2237,0.2447
71,0.4628702998161316,0.14102,0.1682
72,0.43331676721572876,0.19248,0.2167
73,0.5075255632400513,0.18376,0.2062
74,0.2919064462184906,0.23536,0.2477
75,0.41157016158103943,0.16714,0.1867
76,0.6038545370101929,0.17648,0.2037
77,0.5273388624191284,0.20122,0.2241
78,0.38459235429763794,0.17448,0.2011
79,0.313854455947876,0.22972,0.2533
80,0.5903486013412476,0.22048,0.242
81,0.5673798322677612,0.1961,0.2204
82,0.22610554099082947,0.08106,0.1261
83,0.16611477732658386,0.0764,0.1241
84,0.4310348927974701,0.07036,0.124
85,0.15609773993492126,0.07072,0.1201
86,0.1862715631723404,0.06516,0.1186
87,0.12069907039403915,0.06392,0.1218
88,0.2904808223247528,0.06376,0.124
89,0.17301197350025177,0.06084,0.1168
90,0.08283641934394836,0.0596,0.1213
91,0.13227754831314087,0.05744,0.1204
92,0.12157498300075531,0.0559,0.1186
93,0.2316018044948578,0.05444,0.117
94,0.1439489722251892,0.05842,0.1222
95,0.22130067646503448,0.05232,0.1154
96,0.28414204716682434,0.05222,0.1184
97,0.2530955374240875,0.05026,0.1194
98,0.07092797011137009,0.05048,0.1178
99,0.16284219920635223,0.05176,0.1202
100,0.21260115504264832,0.05314,0.1247
101,0.13191871345043182,0.04614,0.1172
102,0.07672090828418732,0.04892,0.1204
103,0.11931611597537994,0.04586,0.1202
104,0.2677609324455261,0.04356,0.1193
105,0.18798691034317017,0.04464,0.1177
106,0.23798134922981262,0.04954,0.1264
107,0.257655531167984,0.0425,0.1195
108,0.3993472456932068,0.03822,0.1172
109,0.25538402795791626,0.04642,0.1239
110,0.12139203399419785,0.04172,0.1182
111,0.13402464985847473,0.03894,0.118
112,0.19793079793453217,0.04148,0.1239
113,0.07832299917936325,0.04148,0.121
114,0.07519565522670746,0.04186,0.1233
115,0.07065461575984955,0.04074,0.1233
116,0.12067335844039917,0.03698,0.1166
117,0.2030399739742279,0.04686,0.1203
118,0.20559179782867432,0.04046,0.1214
119,0.13294890522956848,0.0364,0.1191
120,0.15020260214805603,0.04046,0.1213
121,0.11027649790048599,0.0397,0.1243
122,0.2451528012752533,0.03972,0.1202
123,0.07417244464159012,0.02634,0.1126
124,0.062254488468170166,0.02474,0.1152
125,0.05526299029588699,0.0244,0.1135
126,0.06333200633525848,0.0237,0.1149
127,0.17075027525424957,0.0229,0.1127
128,0.13253526389598846,0.02218,0.1146
129,0.09163767844438553,0.0228,0.1149
130,0.05023820325732231,0.0222,0.1152
131,0.08647475391626358,0.02192,0.1142
132,0.15627361834049225,0.02192,0.1143
133,0.09111370891332626,0.02096,0.1129
134,0.09099166095256805,0.02052,0.1143
135,0.04131575673818588,0.0193,0.1143
136,0.05212782695889473,0.01964,0.1154
137,0.145656019449234,0.01982,0.1152
138,0.13855288922786713,0.0206,0.1145
