epoch,train_loss,train_err,test_err
0,1.9117577075958252,0.69896,0.694
1,1.4720828533172607,0.54552,0.527
2,1.0495884418487549,0.43652,0.4274
3,0.9986114501953125,0.36342,0.3602
4,0.9495381116867065,0.32118,0.3218
5,0.7365904450416565,0.2822,0.2964
6,1.0390416383743286,0.2756,0.28
7,0.5206854939460754,0.21956,0.2298
8,0.39650774002075195,0.22364,0.2308
9,0.44602370262145996,0.2032,0.2243
10,0.37015432119369507,0.229,0.2343
11,0.5705219507217407,0.169,0.1898
12,0.5198873281478882,0.2008,0.2212
13,0.2700788378715515,0.16832,0.1908
14,0.5096215009689331,0.17616,0.2009
15,0.3890000581741333,0.15936,0.1825
16,0.5716116428375244,0.15842,0.1823
17,0.3415089249610901,0.16214,0.1925
18,0.3534204363822937,0.13546,0.1644
19,0.2932351529598236,0.1618,0.1952
20,0.5045493841171265,0.16218,0.1939
21,0.36182376742362976,0.14992,0.1844
22,0.2938951551914215,0.12062,0.154
23,0.3817339241504669,0.14446,0.1852
24,0.37545955181121826,0.15238,0.1926
25,0.34552520513534546,0.12714,0.1658
26,0.4579576551914215,0.14386,0.185
27,0.2854006290435791,0.12124,0.1624
28,0.4167529046535492,0.1191,0.1562
29,0.3193686604499817,0.11108,0.1488
30,0.20652444660663605,0.11186,0.1544
31,0.44655734300613403,0.14132,0.1838
32,0.29078197479248047,0.105,0.1413
33,0.37090757489204407,0.11226,0.152
34,0.33405357599258423,0.11788,0.1528
35,0.4177154004573822,0.1239,0.1676
36,0.273409366607666,0.10932,0.142
37,0.2605926990509033,0.12294,0.161
38,0.19663795828819275,0.13134,0.1725
39,0.24194633960723877,0.10318,0.1526
40,0.21392197906970978,0.0993,0.1405
41,0.19412128627300262,0.10462,0.1449
42,0.3827502727508545,0.11794,0.1599
43,0.42897289991378784,0.10178,0.1421
44,0.4998903274536133,0.0876,0.1311
45,0.29977723956108093,0.1231,0.1675
46,0.26006338000297546,0.10164,0.1485
47,0.2900584936141968,0.10348,0.1477
48,0.3753473162651062,0.09586,0.1484
49,0.25739964842796326,0.07974,0.1236
50,0.2754843533039093,0.09402,0.1423
51,0.2602444291114807,0.09212,0.1386
52,0.22729793190956116,0.0947,0.1426
53,0.1978338658809662,0.08192,0.135
54,0.41066503524780273,0.12414,0.166
55,0.25126081705093384,0.11018,0.1558
56,0.284246027469635,0.1128,0.1579
57,0.34050577878952026,0.08736,0.1332
58,0.24176207184791565,0.10088,0.1485
59,0.19779309630393982,0.08534,0.1379
60,0.12365833669900894,0.0777,0.1301
61,0.18143178522586823,0.08646,0.1334
62,0.2596474587917328,0.0919,0.1377
63,0.5155589580535889,0.09588,0.1478
64,0.2004741132259369,0.1066,0.152
65,0.41591039299964905,0.12192,0.1643
66,0.20759332180023193,0.09942,0.1487
67,0.12300100177526474,0.08852,0.1365
68,0.28447967767715454,0.08388,0.1412
69,0.15079882740974426,0.08038,0.13
70,0.1331896334886551,0.07862,0.1374
71,0.22313782572746277,0.08524,0.1355
72,0.2853737771511078,0.081,0.1254
73,0.33080238103866577,0.09566,0.1379
74,0.3006080985069275,0.07706,0.1254
75,0.1921810805797577,0.08304,0.1376
76,0.30756932497024536,0.07856,0.1314
77,0.38731849193573,0.09078,0.1364
78,0.2729354798793793,0.12076,0.169
79,0.28629419207572937,0.11188,0.1604
80,0.17695781588554382,0.08986,0.1399
81,0.18355149030685425,0.1068,0.1533
82,0.15837045013904572,0.03072,0.0942
83,0.13299597799777985,0.02488,0.091
84,0.19368575513362885,0.02242,0.0903
85,0.15938778221607208,0.02068,0.0897
86,0.1467134654521942,0.01864,0.0889
87,0.07366056740283966,0.01718,0.0866
88,0.05402042344212532,0.0157,0.089
89,0.06652401387691498,0.01532,0.0889
90,0.04673469811677933,0.01364,0.0886
91,0.051599692553281784,0.01334,0.087
92,0.058583151549100876,0.01252,0.0876
93,0.05138111859560013,0.01196,0.0873
94,0.04405398666858673,0.01126,0.0867
95,0.015482808463275433,0.01068,0.085
96,0.08972237259149551,0.01064,0.087
97,0.055895913392305374,0.00926,0.0863
98,0.013625256717205048,0.00898,0.0852
99,0.026116717606782913,0.00872,0.0888
100,0.05981786176562309,0.00836,0.0878
101,0.0245682243257761,0.00838,0.0885
102,0.0162949301302433,0.00766,0.0864
103,0.03340470790863037,0.0073,0.0859
104,0.03594764322042465,0.00786,0.0878
105,0.07171943783760071,0.00766,0.0888
106,0.01914312317967415,0.00612,0.09
107,0.042038291692733765,0.00642,0.0863
108,0.022118408232927322,0.00648,0.0863
109,0.061868488788604736,0.00672,0.0855
110,0.045744556933641434,0.0062,0.0839
111,0.04366622120141983,0.00522,0.0856
112,0.015493890270590782,0.00496,0.0837
113,0.031892985105514526,0.006,0.0856
114,0.02816227450966835,0.00482,0.0856
115,0.015814516693353653,0.00438,0.0834
116,0.053201280534267426,0.00558,0.0892
117,0.04047743231058121,0.00506,0.0867
118,0.04729165509343147,0.00522,0.0868
119,0.004172016866505146,0.00416,0.0877
120,0.005085841752588749,0.0036,0.0864
121,0.05830679461359978,0.00404,0.0866
122,0.01745298132300377,0.00432,0.0868
123,0.013654646463692188,0.00282,0.0838
124,0.004849347751587629,0.00272,0.0821
125,0.02852761186659336,0.00282,0.0833
126,0.033535122871398926,0.00264,0.0828
127,0.011357094161212444,0.00218,0.0827
128,0.08221788704395294,0.0026,0.0829
129,0.028658080846071243,0.00254,0.0827
130,0.009049467742443085,0.00216,0.0832
131,0.021581996232271194,0.00234,0.0839
132,0.02336612343788147,0.0022,0.0822
133,0.016280265524983406,0.00212,0.0825
134,0.020398620516061783,0.00192,0.0817
135,0.04419736936688423,0.00208,0.0812
136,0.03135904669761658,0.00222,0.0823
137,0.004332367796450853,0.00234,0.0825
138,0.01295132003724575,0.00154,0.0824
139,0.004424755927175283,0.00178,0.0819
140,0.010450519621372223,0.00188,0.0815
141,0.025429945439100266,0.0021,0.0819
142,0.008295918814837933,0.00162,0.082
143,0.008353391662240028,0.00186,0.0813
144,0.016379427164793015,0.00168,0.0817
145,0.019669296219944954,0.0019,0.0817
146,0.04636213183403015,0.00156,0.082
147,0.018482621759176254,0.00154,0.0825
148,0.02559458650648594,0.0017,0.0816
149,0.006983553525060415,0.00218,0.0825
150,0.01674376241862774,0.00192,0.0825
151,0.016416847705841064,0.00166,0.0819
152,0.042938124388456345,0.00174,0.0825
153,0.009895829483866692,0.00154,0.0816
154,0.029952649027109146,0.0017,0.0812
155,0.015513365156948566,0.00198,0.0824
156,0.0026648316998034716,0.0015,0.081
157,0.02880791947245598,0.00152,0.0823
158,0.03169504925608635,0.0016,0.0822
159,0.050889719277620316,0.00142,0.0804
160,0.032471973448991776,0.00144,0.0814
161,0.01703566126525402,0.00184,0.0808
162,0.006002881098538637,0.0016,0.0809
163,0.004691533278673887,0.00138,0.0817
